Nom;Nombre de personnes;Points;Distance totale;Boosts envoyés;Boosts reçus;Nombre de quizz répondus;Nombre de quizz bien répondus;Missions validées;Nombre de pas;Distance WALK;Activité RUN;Distance RUN;Activité BIKE;Distance BIKE;Nombre de Posts;Nombre de Commentaires;Nombre de likes émis
The Expendables;9;174191;13308;460;460;233;231;165;7796737;5458;515;3780;231;4071;12;18;115
Winter is running;9;173921;13971;429;412;236;233;158;7165410;5016;734;3307;311;5649;36;28;142
The Outsiders;9;152239;11145;515;515;233;231;168;5961693;4173;460;2621;236;4352;28;29;248
Les Chtironman;9;136960;9044;464;464;231;226;152;6380057;4466;724;2800;157;1778;210;251;1016
LES CAALENGERS;9;132550;9016;409;409;233;231;155;6599526;4620;633;2488;191;1909;2;3;3
Les PACI_lents;9;127769;8871;417;417;235;233;135;6610306;4627;723;2293;227;1951;4;6;36
Les Touaregs du Bitume;9;125273;8826;385;385;221;214;129;6358746;4451;508;2290;261;2086;0;0;0
Les Toubibs free;9;120721;7870;406;406;228;225;131;5820675;4074;626;2166;123;1630;0;0;1
les internationaux;9;118851;8573;404;404;227;224;147;6027352;4219;325;1336;356;3018;1;0;0
The Daydreamers;9;116947;7706;377;377;222;216;120;6402757;4482;320;1613;125;1612;22;3;119
BADASS SQUAD DEP;9;115278;7082;430;430;233;230;142;5894840;4126;584;1935;98;1021;10;0;5
HAKUNAMATATA;9;108743;6374;401;401;233;229;143;5470735;3830;433;1611;115;934;11;19;98
Sportifs de la DCV;9;102875;6482;341;341;228;223;116;5495354;3847;228;1475;177;1161;14;1;5
Best team;9;101994;6208;364;364;238;234;116;5427744;3799;393;1604;126;805;72;1;35
Les Extra comptables;9;98729;6352;368;368;219;213;124;4739182;3317;265;1316;139;1719;4;1;1
Las Flamingas Deglingas;9;98069;5675;424;424;233;230;129;5325328;3728;423;1190;197;757;1;1;4
Les acolytes;9;93800;5950;285;292;210;204;94;4830543;3381;207;1651;102;917;2;0;1
Les Melting Potes;9;86435;5297;345;351;231;226;106;4574338;3202;198;978;91;1118;12;5;18
La Team Eclair;9;83999;4799;295;295;218;214;93;4264684;2985;316;1158;136;657;10;10;90
Les Friteux;9;83632;4899;347;347;216;202;101;4497183;3148;364;1155;72;597;17;2;31
RUN Sécu;9;78637;4961;310;312;227;222;85;3858063;2701;225;909;107;1352;7;0;0
Les Retraitées du Bitume;9;75264;3948;284;284;231;230;109;3199191;2239;188;965;76;744;113;18;301
Prf_Equipe_Outsider;9;69234;4333;193;193;221;217;74;3829052;2680;81;471;73;1182;0;1;2
Véritables Motivés;9;66056;4100;255;255;205;195;77;3971457;2780;101;455;93;865;4;0;2
EASY RIDERS;9;66042;3855;259;254;220;191;66;3439409;2408;221;955;43;493;18;4;19
PCI Team;9;62189;3705;312;312;211;202;49;3507037;2455;167;778;66;473;51;29;92
Team raclette healthy;8;53183;3160;305;311;202;192;53;2773517;1941;247;501;170;718;7;11;17
ADPieds;9;31502;1618;153;153;200;189;10;2212644;1549;15;69;0;0;2;1;7
