Nom;Nombre de personnes;Points;Distance totale;Boosts envoyés;Boosts reçus;Nombre de quizz répondus;Nombre de quizz bien répondu;Missions validés;Nombre de pas;Distance WALK;Activité RUN;Distance RUN;Activité BIKE;Distance BIKE;Nombre de Posts;Nombre de Commentaires;Nombre de likes émis
The Expendables;9;78771;6006;214;214;109;108;73;3696282;2587.4;72;538.38;26;611.31;2;0;7
Winter is running;9;78733;6217;213;213;117;116;70;3314253;2319.98;79;436.17;24;572.29;0;1;2
The Outsiders;9;72130;5159;238;238;117;116;78;2773024;1941.12;58;368.25;31;632.21;0;0;6
Les Touaregs du Bitume;9;64539;4679;197;197;107;102;64;3218266;2252.79;90;454.51;33;377.77;0;0;0
les internationaux;9;61981;4551;199;199;114;112;76;2996302;2097.41;61;253.96;39;290.8;0;0;0
Les Chtironman;9;61238;3887;223;223;115;112;71;2874444;2012.11;63;346.85;16;246.58;91;93;354
Les PACI_lents;9;60422;4217;206;206;116;115;66;3094080;2165.86;91;245.42;39;246.43;2;0;1
LES CAALENGERS;9;59596;4005;190;190;116;115;68;3067713;2147.4;77;356.12;15;230.56;1;0;0
The Daydreamers;9;53239;3374;171;171;113;110;53;3061031;2142.72;34;151.7;9;132.9;5;0;11
Fifou_Team;9;52812;3505;185;185;112;111;56;2753798;1927.66;42;200.08;17;364.42;0;0;0
HAKUNAMATATA;9;52345;2931;203;203;117;115;71;2620667;1834.47;103;322.55;12;62.53;0;1;25
Best team;9;52242;3003;178;178;117;115;58;2649643;1854.75;49;281.47;13;60.72;61;0;21
BADASS SQUAD DEP;9;51742;3065;203;203;115;113;66;2791897;1954.33;47;253.42;10;113.95;6;0;0
Sportifs de la DCV;9;49912;3166;168;168;113;109;60;2678367;1874.86;42;216.76;28;195.67;7;1;5
Les acolytes;9;47660;3042;149;149;101;98;49;2362479;1653.74;38;340.81;26;260.15;0;0;0
Las Flamingas Deglingas;9;47340;2691;203;203;116;114;62;2544511;1781.16;65;195.44;22;81.14;0;0;0
Les Melting Potes;9;47227;2999;188;188;115;114;57;2527000;1768.9;39;192.37;12;220.91;6;5;8
Les Extra comptables;9;45354;2905;173;173;108;105;54;2202678;1541.87;34;157.71;11;114.39;3;1;0
Les Frit'eux;9;44412;2642;188;188;110;103;57;2259225;1581.46;71;274.51;16;123.2;12;1;19
La Team Eclair';9;42448;2352;147;147;103;103;50;2093770;1465.64;47;243.24;10;37.23;5;5;22
Prf_Outsider;9;38343;2604;122;122;115;114;41;2132543;1492.78;13;80.85;21;332.55;0;0;1
Les Retraitées du Bitume;9;36128;1838;124;124;117;116;57;1579937;1105.96;30;143.64;8;98.15;46;5;90
RUN Sécu;9;35701;2023;147;149;112;111;37;1756042;1229.23;46;170.66;7;105.63;6;0;0
Véritables Motivés;9;33180;2016;126;126;104;99;41;1916707;1341.69;25;139.95;14;127.28;4;0;2
EASY RIDERS;9;30355;1766;110;110;110;99;28;1681987;1177.39;8;44.26;1;13.16;10;3;11
Team raclette healthy;8;29538;1666;158;164;108;103;35;1394289;976;45;124.44;22;113.82;5;8;11
PCI Team;9;28471;1646;140;140;106;97;21;1672818;1170.97;17;68.25;3;12.8;27;16;32
ADPieds;9;16608;846;86;86;96;88;6;1123118;786.18;7;37.3;0;0;1;1;2
